gameid,winning_team_champions,losing_team_champions
10149-10149_game_3,"[17, 23, 47, 9, 10]","[12, 91, 155, 75, 31]"
10150-10150_game_1,"[110, 72, 141, 9, 10]","[12, 23, 156, 75, 31]"
10150-10150_game_2,"[17, 72, 99, 15, 16]","[12, 146, 156, 75, 31]"
10151-10151_game_1,"[44, 147, 53, 37, 161]","[82, 50, 155, 75, 51]"
10151-10151_game_2,"[1, 72, 99, 95, 100]","[49, 23, 155, 75, 51]"
10152-10152_game_1,"[1, 18, 53, 95, 90]","[110, 7, 155, 75, 31]"
10152-10152_game_2,"[12, 7, 156, 95, 90]","[1, 23, 29, 75, 51]"
10153-10153_game_1,"[47, 23, 155, 75, 100]","[110, 72, 48, 95, 51]"
10153-10153_game_2,"[12, 18, 155, 75, 100]","[17, 7, 156, 37, 61]"
10154-10154_game_1,"[110, 18, 77, 75, 31]","[47, 23, 53, 15, 16]"
10154-10154_game_2,"[47, 146, 155, 95, 161]","[110, 23, 77, 75, 31]"
10154-10154_game_3,"[1, 7, 155, 9, 10]","[47, 23, 77, 75, 31]"
10155-10155_game_1,"[47, 72, 48, 37, 51]","[110, 7, 53, 75, 31]"
10155-10155_game_2,"[47, 18, 156, 37, 51]","[133, 23, 53, 75, 25]"
10156-10156_game_1,"[82, 18, 8, 75, 161]","[12, 72, 48, 95, 31]"
10156-10156_game_2,"[110, 23, 53, 75, 31]","[1, 7, 156, 15, 16]"
10157-10157_game_1,"[110, 51, 48, 9, 10]","[47, 23, 155, 15, 16]"
10157-10157_game_2,"[17, 133, 12, 95, 61]","[110, 23, 8, 75, 161]"
10158-10158_game_1,"[12, 50, 156, 95, 100]","[110, 23, 53, 75, 114]"
10158-10158_game_2,"[49, 6, 48, 95, 90]","[110, 66, 156, 75, 100]"
10158-10158_game_3,"[12, 23, 158, 95, 41]","[82, 50, 156, 75, 51]"
10159-10159_game_1,"[78, 23, 47, 95, 51]","[12, 87, 155, 75, 31]"
10159-10159_game_2,"[12, 91, 156, 75, 100]","[110, 18, 158, 95, 117]"
10160-10160_game_1,"[78, 18, 156, 75, 51]","[17, 72, 48, 37, 100]"
10160-10160_game_2,"[49, 18, 77, 95, 90]","[19, 23, 53, 75, 51]"
